"Sample","Num_Segments","Mean_Seg_Mean","Frac_Amp","Frac_Del","SampleType"
"TCGA-A2-A04P-10A-01D-A037-01",118,-0.424263559322034,0.0677966101694915,0.347457627118644,"Normal"
"TCGA-A2-A04Q-01A-21D-A036-01",97,-0.258026804123711,0.123711340206186,0.247422680412371,"Tumor"
"TCGA-A2-A04Q-10A-01D-A037-01",51,-0.333709803921569,0.0196078431372549,0.254901960784314,"Normal"
"TCGA-A2-A04R-01A-41D-A107-01",185,-0.458245945945946,0.167567567567568,0.416216216216216,"Tumor"
"TCGA-A2-A04R-10B-01D-A107-01",51,-0.412939215686275,0.0196078431372549,0.254901960784314,"Normal"
"TCGA-A2-A04T-01A-21D-A036-01",414,-0.089769806763285,0.265700483091787,0.352657004830918,"Tumor"
"TCGA-A2-A04T-10A-01D-A037-01",75,-0.339185333333333,0.0266666666666667,0.32,"Normal"
"TCGA-A2-A04U-01A-11D-A111-01",1602,0.131633333333333,0.404494382022472,0.162921348314607,"Tumor"
"TCGA-A2-A04U-10A-01D-A113-01",41,-0.376085365853659,0.024390243902439,0.195121951219512,"Normal"
"TCGA-A2-A04V-01A-21D-A036-01",198,0.0403166666666667,0.368686868686869,0.217171717171717,"Tumor"
"TCGA-A2-A04V-10A-01D-A037-01",53,-0.390767924528302,0.0188679245283019,0.264150943396226,"Normal"
"TCGA-A2-A04W-01A-31D-A111-01",394,0.40108883248731,0.50761421319797,0.0786802030456853,"Tumor"
"TCGA-A2-A04W-10A-01D-A113-01",45,-0.328315555555556,0.0222222222222222,0.222222222222222,"Normal"
"TCGA-A2-A04X-01A-21D-A036-01",247,0.00716477732793523,0.259109311740891,0.364372469635628,"Tumor"
"TCGA-A2-A04X-10A-01D-A037-01",69,-0.394366666666667,0.0434782608695652,0.289855072463768,"Normal"
"TCGA-A2-A04Y-01A-21D-A036-01",287,0.663615679442509,0.557491289198606,0.13588850174216,"Tumor"
"TCGA-A2-A04Y-10A-01D-A037-01",77,-0.24218961038961,0.103896103896104,0.246753246753247,"Normal"
